pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition,stack_on
P0073,17,575.0,140.0,0.0,carton,novel_background_dim,
P0074,20,575.0,200.0,-35.0,plastic_box,novel_background_dim,
P0075,16,525.0,140.0,-10.0,wood_box,novel_background_dim,
P0076,6,625.0,-100.0,25.0,metal_box,novel_background_dim,
P0077,4,525.0,-100.0,45.0,inox_box,novel_background_dim,carton
P0078,20,575.0,200.0,70.0,inox_box,novel_background_dim,
P0079,16,525.0,140.0,-15.0,inox_box,novel_background_dim,
P0080,16,525.0,140.0,80.0,inox_box,novel_background_dim,
P0081,12,625.0,20.0,-10.0,carton,novel_background_dim,
P0082,13,525.0,80.0,30.0,plastic_box,novel_background_dim,wood_box
P0083,4,525.0,-100.0,15.0,wood_box,novel_background_dim,
P0084,16,525.0,140.0,-5.0,metal_box,novel_background_dim,
P0085,4,525.0,-100.0,0.0,inox_box,novel_background_dim,
P0086,20,575.0,200.0,5.0,inox_box,novel_background_dim,
P0087,20,575.0,200.0,85.0,inox_box,novel_background_dim,wood_box
P0088,20,575.0,200.0,25.0,inox_box,novel_background_dim,
P0089,17,575.0,140.0,-65.0,carton,novel_background_dim,
P0090,9,625.0,-40.0,-70.0,plastic_box,novel_background_dim,
P0091,19,525.0,200.0,-90.0,wood_box,novel_background_dim,
P0092,7,525.0,-40.0,65.0,metal_box,novel_background_dim,inox_box
P0093,8,575.0,-40.0,-60.0,inox_box,novel_background_dim,
P0094,5,575.0,-100.0,0.0,inox_box,novel_background_dim,
P0095,1,525.0,-160.0,-85.0,inox_box,novel_background_dim,
P0096,14,575.0,80.0,-65.0,inox_box,novel_background_dim,
P0097,11,575.0,20.0,20.0,carton,novel_background_dim,plastic_box
P0098,21,625.0,200.0,80.0,plastic_box,novel_background_dim,
P0099,15,625.0,80.0,55.0,wood_box,novel_background_dim,
P0100,5,575.0,-100.0,-65.0,metal_box,novel_background_dim,
P0101,19,525.0,200.0,55.0,inox_box,novel_background_dim,
P0102,14,575.0,80.0,-60.0,inox_box,novel_background_dim,plastic_box
P0103,15,625.0,80.0,25.0,inox_box,novel_background_dim,
P0104,2,575.0,-160.0,-5.0,inox_box,novel_background_dim,
P0105,8,575.0,-40.0,35.0,carton,novel_background_dim,
P0106,12,625.0,20.0,60.0,plastic_box,novel_background_dim,
P0107,17,575.0,140.0,60.0,wood_box,novel_background_dim,metal_box
P0108,14,575.0,80.0,85.0,metal_box,novel_background_dim,
P0109,4,525.0,-100.0,-20.0,inox_box,novel_background_dim,
P0110,21,625.0,200.0,-45.0,inox_box,novel_background_dim,
P0111,5,575.0,-100.0,-30.0,inox_box,novel_background_dim,
P0112,19,525.0,200.0,55.0,inox_box,novel_background_dim,metal_box
P0113,15,625.0,80.0,-60.0,carton,novel_background_dim,
P0114,5,575.0,-100.0,-10.0,plastic_box,novel_background_dim,
P0115,20,575.0,200.0,-75.0,wood_box,novel_background_dim,
P0116,9,625.0,-40.0,85.0,metal_box,novel_background_dim,
P0117,4,525.0,-100.0,-70.0,inox_box,novel_background_dim,
P0118,7,525.0,-40.0,-45.0,inox_box,novel_background_dim,plastic_box
P0119,9,625.0,-40.0,10.0,inox_box,novel_background_dim,
P0120,2,575.0,-160.0,55.0,inox_box,novel_background_dim,
P0121,1,525.0,-160.0,-20.0,carton,novel_background_dim,
P0122,15,625.0,80.0,50.0,plastic_box,novel_background_dim,
P0123,21,625.0,200.0,-90.0,wood_box,novel_background_dim,metal_box
P0124,9,625.0,-40.0,-15.0,metal_box,novel_background_dim,
P0125,19,525.0,200.0,-65.0,inox_box,novel_background_dim,
P0126,3,625.0,-160.0,-65.0,inox_box,novel_background_dim,
P0127,12,625.0,20.0,-30.0,inox_box,novel_background_dim,
P0128,7,525.0,-40.0,15.0,inox_box,novel_background_dim,metal_box
P0129,9,625.0,-40.0,15.0,carton,novel_background_dim,
P0130,20,575.0,200.0,60.0,plastic_box,novel_background_dim,
P0131,18,625.0,140.0,5.0,wood_box,novel_background_dim,
P0132,21,625.0,200.0,-70.0,metal_box,novel_background_dim,
P0133,16,525.0,140.0,60.0,inox_box,novel_background_dim,carton
P0134,2,575.0,-160.0,25.0,inox_box,novel_background_dim,
P0135,8,575.0,-40.0,40.0,inox_box,novel_background_dim,
P0136,11,575.0,20.0,-90.0,inox_box,novel_background_dim,
P0137,19,525.0,200.0,40.0,carton,novel_background_dim,
P0138,18,625.0,140.0,5.0,plastic_box,novel_background_dim,wood_box
P0139,10,525.0,20.0,15.0,wood_box,novel_background_dim,
P0140,15,625.0,80.0,-10.0,metal_box,novel_background_dim,
P0141,2,575.0,-160.0,-90.0,inox_box,novel_background_dim,
P0142,11,575.0,20.0,30.0,inox_box,novel_background_dim,
P0143,16,525.0,140.0,-10.0,inox_box,novel_background_dim,wood_box
P0144,21,625.0,200.0,-65.0,inox_box,novel_background_dim,
P0145,2,575.0,-160.0,-10.0,carton,novel_background_dim,
P0146,14,575.0,80.0,-60.0,plastic_box,novel_background_dim,
P0147,19,525.0,200.0,-65.0,wood_box,novel_background_dim,
P0148,10,525.0,20.0,55.0,metal_box,novel_background_dim,inox_box
P0149,1,525.0,-160.0,45.0,inox_box,novel_background_dim,
P0150,11,575.0,20.0,-70.0,inox_box,novel_background_dim,
P0151,1,525.0,-160.0,65.0,inox_box,novel_background_dim,
P0152,2,575.0,-160.0,-10.0,inox_box,novel_background_dim,
P0153,7,525.0,-40.0,-70.0,carton,novel_background_dim,plastic_box
P0154,17,575.0,140.0,-45.0,plastic_box,novel_background_dim,
P0155,7,525.0,-40.0,-70.0,wood_box,novel_background_dim,
P0156,20,575.0,200.0,5.0,metal_box,novel_background_dim,
P0157,6,625.0,-100.0,-35.0,inox_box,novel_background_dim,
P0158,6,625.0,-100.0,-80.0,inox_box,novel_background_dim,plastic_box
P0159,19,525.0,200.0,-80.0,inox_box,novel_background_dim,
P0160,15,625.0,80.0,-30.0,inox_box,novel_background_dim,
P0161,11,575.0,20.0,85.0,carton,novel_background_dim,
P0162,12,625.0,20.0,65.0,plastic_box,novel_background_dim,
P0163,11,575.0,20.0,55.0,wood_box,novel_background_dim,metal_box
P0164,11,575.0,20.0,-25.0,metal_box,novel_background_dim,
P0165,19,525.0,200.0,-55.0,inox_box,novel_background_dim,
P0166,1,525.0,-160.0,-80.0,inox_box,novel_background_dim,
P0167,2,575.0,-160.0,5.0,inox_box,novel_background_dim,
P0168,7,525.0,-40.0,-30.0,inox_box,novel_background_dim,metal_box
P0169,7,525.0,-40.0,0.0,carton,novel_background_dim,
P0170,12,625.0,20.0,-45.0,plastic_box,novel_background_dim,
P0171,5,575.0,-100.0,-15.0,wood_box,novel_background_dim,
P0172,18,625.0,140.0,-55.0,metal_box,novel_background_dim,
P0173,14,575.0,80.0,15.0,inox_box,novel_background_dim,carton
P0174,12,625.0,20.0,20.0,inox_box,novel_background_dim,
P0175,13,525.0,80.0,-15.0,inox_box,novel_background_dim,
P0176,16,525.0,140.0,-60.0,inox_box,novel_background_dim,
P0177,10,525.0,20.0,25.0,carton,novel_background_dim,
P0178,20,575.0,200.0,-65.0,plastic_box,novel_background_dim,wood_box
P0179,18,625.0,140.0,-15.0,wood_box,novel_background_dim,
P0180,5,575.0,-100.0,20.0,metal_box,novel_background_dim,
P0181,7,525.0,-40.0,-45.0,inox_box,novel_background_dim,
P0182,21,625.0,200.0,40.0,inox_box,novel_background_dim,
P0183,15,625.0,80.0,-20.0,inox_box,novel_background_dim,wood_box
P0184,20,575.0,200.0,35.0,inox_box,novel_background_dim,
P0185,15,625.0,80.0,-15.0,carton,novel_background_dim,
P0186,4,525.0,-100.0,-35.0,plastic_box,novel_background_dim,
P0187,7,525.0,-40.0,-40.0,wood_box,novel_background_dim,
P0188,8,575.0,-40.0,50.0,metal_box,novel_background_dim,
P0189,11,575.0,20.0,55.0,inox_box,novel_background_dim,carton
P0190,12,625.0,20.0,-25.0,inox_box,novel_background_dim,
P0191,2,575.0,-160.0,-30.0,inox_box,novel_background_dim,
P0192,7,525.0,-40.0,-45.0,inox_box,novel_background_dim,
P0193,3,625.0,-160.0,70.0,carton,novel_background_dim,
P0194,15,625.0,80.0,-60.0,plastic_box,novel_background_dim,wood_box
P0195,13,525.0,80.0,-80.0,wood_box,novel_background_dim,
P0196,1,525.0,-160.0,-80.0,metal_box,novel_background_dim,
P0197,15,625.0,80.0,50.0,inox_box,novel_background_dim,
P0198,11,575.0,20.0,-30.0,inox_box,novel_background_dim,
P0199,8,575.0,-40.0,70.0,inox_box,novel_background_dim,wood_box
P0200,9,625.0,-40.0,75.0,inox_box,novel_background_dim,
P0201,5,575.0,-100.0,-45.0,carton,novel_background_dim,
P0202,2,575.0,-160.0,85.0,plastic_box,novel_background_dim,
P0203,17,575.0,140.0,75.0,wood_box,novel_background_dim,
P0204,17,575.0,140.0,55.0,metal_box,novel_background_dim,inox_box
P0205,14,575.0,80.0,5.0,inox_box,novel_background_dim,
P0206,9,625.0,-40.0,35.0,inox_box,novel_background_dim,
P0207,15,625.0,80.0,10.0,inox_box,novel_background_dim,
P0208,15,625.0,80.0,-90.0,inox_box,novel_background_dim,
P0209,19,525.0,200.0,-30.0,carton,novel_background_dim,plastic_box
P0210,21,625.0,200.0,-80.0,plastic_box,novel_background_dim,
P0211,15,625.0,80.0,10.0,wood_box,novel_background_dim,
P0212,14,575.0,80.0,20.0,metal_box,novel_background_dim,
P0213,13,525.0,80.0,-70.0,inox_box,novel_background_dim,
P0214,17,575.0,140.0,75.0,inox_box,novel_background_dim,plastic_box
P0215,18,625.0,140.0,-45.0,inox_box,novel_background_dim,
P0216,16,525.0,140.0,15.0,inox_box,novel_background_dim,
P0217,3,625.0,-160.0,-15.0,carton,novel_background_dim,
P0218,20,575.0,200.0,35.0,plastic_box,novel_background_dim,
P0219,20,575.0,200.0,60.0,wood_box,novel_background_dim,metal_box
P0220,16,525.0,140.0,-5.0,metal_box,novel_background_dim,
P0221,1,525.0,-160.0,10.0,inox_box,novel_background_dim,
P0222,14,575.0,80.0,-10.0,inox_box,novel_background_dim,
P0223,3,625.0,-160.0,-10.0,inox_box,novel_background_dim,
P0224,5,575.0,-100.0,-15.0,inox_box,novel_background_dim,metal_box
P0225,6,625.0,-100.0,-85.0,carton,novel_background_dim,
P0226,5,575.0,-100.0,0.0,plastic_box,novel_background_dim,
P0227,21,625.0,200.0,75.0,wood_box,novel_background_dim,
P0228,13,525.0,80.0,10.0,metal_box,novel_background_dim,
P0229,18,625.0,140.0,-90.0,inox_box,novel_background_dim,carton
P0230,9,625.0,-40.0,-75.0,inox_box,novel_background_dim,
P0231,18,625.0,140.0,-10.0,inox_box,novel_background_dim,
P0232,6,625.0,-100.0,-60.0,inox_box,novel_background_dim,
P0233,15,625.0,80.0,-85.0,carton,novel_background_dim,
P0234,19,525.0,200.0,15.0,plastic_box,novel_background_dim,wood_box
P0235,10,525.0,20.0,-35.0,wood_box,novel_background_dim,
P0236,15,625.0,80.0,10.0,metal_box,novel_background_dim,
P0237,15,625.0,80.0,50.0,inox_box,novel_background_dim,
P0238,17,575.0,140.0,-60.0,inox_box,novel_background_dim,
P0239,8,575.0,-40.0,75.0,inox_box,novel_background_dim,wood_box
P0240,16,525.0,140.0,-75.0,inox_box,novel_background_dim,
P0241,15,625.0,80.0,70.0,carton,novel_background_dim,
P0242,8,575.0,-40.0,-50.0,plastic_box,novel_background_dim,
P0243,17,575.0,140.0,75.0,wood_box,novel_background_dim,
P0244,4,525.0,-100.0,35.0,metal_box,novel_background_dim,inox_box
P0245,10,525.0,20.0,80.0,inox_box,novel_background_dim,
P0246,8,575.0,-40.0,60.0,inox_box,novel_background_dim,
P0247,14,575.0,80.0,55.0,inox_box,novel_background_dim,
P0248,12,625.0,20.0,15.0,inox_box,novel_background_dim,
P0249,7,525.0,-40.0,-35.0,carton,novel_background_dim,plastic_box
P0250,13,525.0,80.0,20.0,plastic_box,novel_background_dim,
P0251,6,625.0,-100.0,45.0,wood_box,novel_background_dim,
P0252,1,525.0,-160.0,55.0,metal_box,novel_background_dim,
P0253,17,575.0,140.0,-35.0,inox_box,novel_background_dim,
P0254,4,525.0,-100.0,-50.0,inox_box,novel_background_dim,plastic_box
P0255,16,525.0,140.0,-30.0,inox_box,novel_background_dim,
P0256,1,525.0,-160.0,-15.0,inox_box,novel_background_dim,
P0257,19,525.0,200.0,55.0,carton,novel_background_dim,
P0258,17,575.0,140.0,15.0,plastic_box,novel_background_dim,
P0259,13,525.0,80.0,45.0,wood_box,novel_background_dim,metal_box
P0260,5,575.0,-100.0,-75.0,metal_box,novel_background_dim,
P0261,13,525.0,80.0,-35.0,inox_box,novel_background_dim,
P0262,17,575.0,140.0,85.0,inox_box,novel_background_dim,
P0263,19,525.0,200.0,-35.0,inox_box,novel_background_dim,
P0264,6,625.0,-100.0,65.0,inox_box,novel_background_dim,
P0265,14,575.0,80.0,70.0,carton,novel_background_dim,plastic_box
P0266,6,625.0,-100.0,-85.0,plastic_box,novel_background_dim,
P0267,21,625.0,200.0,60.0,wood_box,novel_background_dim,
P0268,21,625.0,200.0,-15.0,metal_box,novel_background_dim,
P0269,19,525.0,200.0,75.0,inox_box,novel_background_dim,
P0270,18,625.0,140.0,65.0,inox_box,novel_background_dim,plastic_box
P0271,20,575.0,200.0,-85.0,inox_box,novel_background_dim,
P0272,5,575.0,-100.0,-10.0,inox_box,novel_background_dim,
P0273,13,525.0,80.0,-5.0,carton,novel_background_dim,
P0274,21,625.0,200.0,-15.0,plastic_box,novel_background_dim,
P0275,1,525.0,-160.0,20.0,wood_box,novel_background_dim,metal_box
P0276,8,575.0,-40.0,70.0,metal_box,novel_background_dim,
P0277,7,525.0,-40.0,-85.0,inox_box,novel_background_dim,
P0278,18,625.0,140.0,-20.0,inox_box,novel_background_dim,
P0279,7,525.0,-40.0,-25.0,inox_box,novel_background_dim,
P0280,1,525.0,-160.0,-70.0,inox_box,novel_background_dim,metal_box
P0281,19,525.0,200.0,35.0,carton,novel_background_dim,
P0282,3,625.0,-160.0,-35.0,plastic_box,novel_background_dim,
P0283,20,575.0,200.0,20.0,wood_box,novel_background_dim,
P0284,7,525.0,-40.0,-10.0,metal_box,novel_background_dim,
P0285,14,575.0,80.0,-65.0,inox_box,novel_background_dim,carton
P0286,5,575.0,-100.0,-80.0,inox_box,novel_background_dim,
P0287,5,575.0,-100.0,0.0,inox_box,novel_background_dim,
P0288,21,625.0,200.0,0.0,inox_box,novel_background_dim,
P0289,10,525.0,20.0,40.0,carton,novel_background_dim,
P0290,11,575.0,20.0,85.0,plastic_box,novel_background_dim,wood_box
P0291,17,575.0,140.0,-90.0,wood_box,novel_background_dim,
P0292,6,625.0,-100.0,5.0,metal_box,novel_background_dim,
P0293,7,525.0,-40.0,-10.0,inox_box,novel_background_dim,
P0294,15,625.0,80.0,-45.0,inox_box,novel_background_dim,
P0295,4,525.0,-100.0,45.0,inox_box,novel_background_dim,wood_box
P0296,12,625.0,20.0,-10.0,inox_box,novel_background_dim,
P0297,19,525.0,200.0,20.0,carton,novel_background_dim,
P0298,21,625.0,200.0,5.0,plastic_box,novel_background_dim,
P0299,16,525.0,140.0,10.0,wood_box,novel_background_dim,
P0300,2,575.0,-160.0,-75.0,metal_box,novel_background_dim,inox_box
