pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition
P0149,1,440.0,-160.0,45.5,carton,side_light
P0150,10,960.0,-53.3,-68.6,plastic_box,novel_background
P0151,1,440.0,-160.0,62.9,wood_box,dim
P0152,2,570.0,-160.0,-11.7,metal_box,side_light
P0153,6,440.0,-53.3,-72.2,carton,novel_background
P0154,16,440.0,160.0,-47.4,plastic_box,dim
P0155,7,570.0,-53.3,-69.1,wood_box,side_light
P0156,19,830.0,160.0,6.8,metal_box,novel_background
P0157,6,440.0,-53.3,-35.8,carton,dim
P0158,6,440.0,-53.3,-81.0,plastic_box,side_light
P0159,18,700.0,160.0,-81.3,wood_box,novel_background
P0160,14,830.0,53.3,-29.6,metal_box,dim
P0161,10,960.0,-53.3,85.1,carton,side_light
P0162,11,440.0,53.3,63.4,plastic_box,novel_background
P0163,11,440.0,53.3,56.5,wood_box,dim
P0164,10,960.0,-53.3,-27.3,metal_box,side_light
P0165,18,700.0,160.0,-52.7,carton,novel_background
P0166,1,440.0,-160.0,-79.8,plastic_box,dim
P0167,2,570.0,-160.0,5.8,wood_box,side_light
P0168,7,570.0,-53.3,-28.0,metal_box,novel_background
P0169,7,570.0,-53.3,1.3,carton,dim
P0170,11,440.0,53.3,-43.0,plastic_box,side_light
P0171,5,960.0,-160.0,-16.4,wood_box,novel_background
P0172,18,700.0,160.0,-53.3,metal_box,dim
P0173,14,830.0,53.3,15.9,carton,side_light
P0174,12,570.0,53.3,18.1,plastic_box,novel_background
P0175,12,570.0,53.3,-14.7,wood_box,dim
P0176,15,960.0,53.3,-57.8,metal_box,side_light
P0177,9,830.0,-53.3,26.7,carton,novel_background
P0178,19,830.0,160.0,-66.4,plastic_box,dim
P0179,17,570.0,160.0,-16.9,wood_box,side_light
P0180,5,960.0,-160.0,18.8,metal_box,novel_background
P0181,6,440.0,-53.3,-46.9,carton,dim
P0182,20,960.0,160.0,37.7,plastic_box,side_light
P0183,15,960.0,53.3,-20.7,wood_box,novel_background
P0184,19,830.0,160.0,37.2,metal_box,dim
P0185,14,830.0,53.3,-14.6,carton,side_light
P0186,4,830.0,-160.0,-36.8,plastic_box,novel_background
P0187,6,440.0,-53.3,-38.4,wood_box,dim
P0188,8,700.0,-53.3,50.4,metal_box,side_light
P0189,11,440.0,53.3,53.5,carton,novel_background
P0190,12,570.0,53.3,-23.6,plastic_box,dim
P0191,2,570.0,-160.0,-31.5,wood_box,side_light
P0192,7,570.0,-53.3,-46.0,metal_box,novel_background
P0193,3,700.0,-160.0,69.4,carton,dim
P0194,15,960.0,53.3,-57.5,plastic_box,side_light
P0195,12,570.0,53.3,-79.6,wood_box,novel_background
P0196,1,440.0,-160.0,-82.3,metal_box,dim
P0197,14,830.0,53.3,48.2,carton,side_light
P0198,10,960.0,-53.3,-28.5,plastic_box,novel_background
P0199,8,700.0,-53.3,70.7,wood_box,dim
P0200,9,830.0,-53.3,75.1,metal_box,side_light
P0201,5,960.0,-160.0,-44.5,carton,novel_background
P0202,2,570.0,-160.0,87.2,plastic_box,dim
P0203,16,440.0,160.0,73.5,wood_box,side_light
P0204,16,440.0,160.0,54.7,metal_box,novel_background
P0205,13,700.0,53.3,4.6,carton,dim
P0206,9,830.0,-53.3,36.6,plastic_box,side_light
P0207,14,830.0,53.3,10.9,wood_box,novel_background
P0208,15,960.0,53.3,-88.7,metal_box,dim
P0209,18,700.0,160.0,-27.8,carton,side_light
P0210,20,960.0,160.0,-80.4,plastic_box,novel_background
P0211,14,830.0,53.3,9.5,wood_box,dim
P0212,13,700.0,53.3,19.2,metal_box,side_light
P0213,12,570.0,53.3,-71.7,carton,novel_background
P0214,16,440.0,160.0,73.9,plastic_box,dim
P0215,18,700.0,160.0,-46.5,wood_box,side_light
P0216,15,960.0,53.3,13.8,metal_box,novel_background
P0217,3,700.0,-160.0,-13.0,carton,dim
P0218,19,830.0,160.0,35.4,plastic_box,side_light
P0219,19,830.0,160.0,58.8,wood_box,novel_background
P0220,15,960.0,53.3,-2.7,metal_box,dim
P0221,1,440.0,-160.0,8.8,carton,side_light
P0222,13,700.0,53.3,-7.9,plastic_box,novel_background
P0223,3,700.0,-160.0,-10.7,wood_box,dim
P0224,5,960.0,-160.0,-16.8,metal_box,side_light
P0225,5,960.0,-160.0,-84.3,carton,novel_background
P0226,5,960.0,-160.0,0.3,plastic_box,dim
P0227,20,960.0,160.0,76.0,wood_box,side_light
P0228,12,570.0,53.3,11.3,metal_box,novel_background
P0229,18,700.0,160.0,-89.6,carton,dim
P0230,8,700.0,-53.3,-74.2,plastic_box,side_light
P0231,17,570.0,160.0,-12.3,wood_box,novel_background
P0232,6,440.0,-53.3,-59.2,metal_box,dim
P0233,14,830.0,53.3,-85.7,carton,side_light
P0234,18,700.0,160.0,16.3,plastic_box,novel_background
P0235,9,830.0,-53.3,-34.1,wood_box,dim
P0236,14,830.0,53.3,11.6,metal_box,side_light
P0237,15,960.0,53.3,51.1,carton,novel_background
P0238,16,440.0,160.0,-57.8,plastic_box,dim
P0239,8,700.0,-53.3,74.2,wood_box,side_light
P0240,15,960.0,53.3,-73.1,metal_box,novel_background
P0241,15,960.0,53.3,68.2,carton,dim
P0242,7,570.0,-53.3,-49.3,plastic_box,side_light
P0243,16,440.0,160.0,74.3,wood_box,novel_background
P0244,4,830.0,-160.0,35.5,metal_box,dim
P0245,10,960.0,-53.3,79.5,carton,side_light
P0246,8,700.0,-53.3,60.5,plastic_box,novel_background
P0247,13,700.0,53.3,56.8,wood_box,dim
P0248,12,570.0,53.3,16.5,metal_box,side_light
P0249,6,440.0,-53.3,-36.7,carton,novel_background
P0250,12,570.0,53.3,19.2,plastic_box,dim
P0251,6,440.0,-53.3,43.0,wood_box,side_light
P0252,1,440.0,-160.0,54.8,metal_box,novel_background
P0253,16,440.0,160.0,-35.6,carton,dim
P0254,4,830.0,-160.0,-50.3,plastic_box,side_light
P0255,15,960.0,53.3,-28.7,wood_box,novel_background
P0256,1,440.0,-160.0,-12.9,metal_box,dim
P0257,19,830.0,160.0,54.5,carton,side_light
P0258,16,440.0,160.0,13.3,plastic_box,novel_background
P0259,13,700.0,53.3,44.4,wood_box,dim
P0260,5,960.0,-160.0,-77.0,metal_box,side_light
P0261,13,700.0,53.3,-34.7,carton,novel_background
P0262,16,440.0,160.0,87.1,plastic_box,dim
P0263,18,700.0,160.0,-35.2,wood_box,side_light
P0264,6,440.0,-53.3,67.4,metal_box,novel_background
P0265,13,700.0,53.3,71.5,carton,dim
P0266,6,440.0,-53.3,-86.2,plastic_box,side_light
P0267,20,960.0,160.0,61.5,wood_box,novel_background
P0268,20,960.0,160.0,-16.4,metal_box,dim
P0269,19,830.0,160.0,72.6,carton,side_light
P0270,17,570.0,160.0,65.2,plastic_box,novel_background
P0271,20,960.0,160.0,-84.3,wood_box,dim
P0272,4,830.0,-160.0,-9.7,metal_box,side_light
P0273,13,700.0,53.3,-4.8,carton,novel_background
P0274,20,960.0,160.0,-15.2,plastic_box,dim
P0275,1,440.0,-160.0,19.4,wood_box,side_light
P0276,8,700.0,-53.3,67.8,metal_box,novel_background
P0277,7,570.0,-53.3,-87.5,carton,dim
P0278,17,570.0,160.0,-19.7,plastic_box,side_light
P0279,6,440.0,-53.3,-26.9,wood_box,novel_background
P0280,1,440.0,-160.0,-67.6,metal_box,dim
P0281,18,700.0,160.0,36.4,carton,side_light
P0282,3,700.0,-160.0,-36.9,plastic_box,novel_background
P0283,19,830.0,160.0,19.1,wood_box,dim
P0284,7,570.0,-53.3,-7.5,metal_box,side_light
P0285,13,700.0,53.3,-63.8,carton,novel_background
P0286,5,960.0,-160.0,-80.5,plastic_box,dim
P0287,5,960.0,-160.0,-1.1,wood_box,side_light
P0288,20,960.0,160.0,0.9,metal_box,novel_background
P0289,10,960.0,-53.3,40.2,carton,dim
P0290,11,440.0,53.3,84.2,plastic_box,side_light
P0291,17,570.0,160.0,-88.7,wood_box,novel_background
P0292,5,960.0,-160.0,6.0,metal_box,dim
P0293,7,570.0,-53.3,-12.3,carton,side_light
P0294,15,960.0,53.3,-44.1,plastic_box,novel_background
P0295,4,830.0,-160.0,43.9,wood_box,dim
P0296,11,440.0,53.3,-8.6,metal_box,side_light
P0297,18,700.0,160.0,17.8,carton,novel_background
P0298,20,960.0,160.0,2.9,plastic_box,dim
P0299,15,960.0,53.3,8.6,wood_box,side_light
P0300,2,570.0,-160.0,-73.3,metal_box,novel_background
