pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition
P0047,7,570.0,-53.3,-51.4,wood_box,
P0048,9,830.0,-53.3,-16.5,metal_box,
P0049,20,960.0,160.0,-47.9,carton,
P0050,18,700.0,160.0,-79.5,plastic_box,
P0051,18,700.0,160.0,-37.2,wood_box,
P0052,6,440.0,-53.3,29.1,metal_box,
P0053,3,700.0,-160.0,51.1,carton,
P0054,12,570.0,53.3,29.6,plastic_box,
P0055,9,830.0,-53.3,56.5,wood_box,
P0056,9,830.0,-53.3,-59.9,metal_box,
P0057,7,570.0,-53.3,-73.8,carton,
P0058,1,440.0,-160.0,40.0,plastic_box,
P0059,14,830.0,53.3,-61.0,wood_box,
P0060,10,960.0,-53.3,0.2,metal_box,
P0061,19,830.0,160.0,35.3,carton,
P0062,4,830.0,-160.0,-9.7,plastic_box,
P0063,4,830.0,-160.0,-35.7,wood_box,
P0064,8,700.0,-53.3,23.5,metal_box,
P0065,13,700.0,53.3,-74.2,carton,
P0066,8,700.0,-53.3,-68.8,plastic_box,
P0067,7,570.0,-53.3,73.5,wood_box,
P0068,20,960.0,160.0,35.9,metal_box,
P0069,10,960.0,-53.3,84.5,carton,
P0070,6,440.0,-53.3,50.2,plastic_box,
P0071,6,440.0,-53.3,-9.1,wood_box,
P0072,15,960.0,53.3,-41.0,metal_box,
P0073,2,570.0,-160.0,72.5,carton,
P0074,2,570.0,-160.0,-8.0,plastic_box,
P0075,15,960.0,53.3,-34.9,wood_box,
P0076,5,960.0,-160.0,14.3,metal_box,
P0077,11,440.0,53.3,64.2,carton,
P0078,4,830.0,-160.0,46.5,plastic_box,
P0079,10,960.0,-53.3,-12.2,wood_box,
P0080,15,960.0,53.3,22.9,metal_box,
P0081,3,700.0,-160.0,27.0,carton,
P0082,12,570.0,53.3,-74.8,plastic_box,
P0083,16,440.0,160.0,-82.5,wood_box,
P0084,9,830.0,-53.3,-1.1,metal_box,
P0085,4,830.0,-160.0,-64.0,carton,
P0086,7,570.0,-53.3,-71.4,plastic_box,
P0087,4,830.0,-160.0,-59.3,wood_box,
P0088,12,570.0,53.3,76.5,metal_box,
P0089,20,960.0,160.0,-27.6,carton,
P0090,12,570.0,53.3,16.4,plastic_box,
P0091,6,440.0,-53.3,82.5,wood_box,
P0092,1,440.0,-160.0,-3.2,metal_box,
P0093,10,960.0,-53.3,-75.1,carton,
P0094,16,440.0,160.0,-2.4,plastic_box,
P0095,14,830.0,53.3,78.8,wood_box,
P0096,10,960.0,-53.3,12.9,metal_box,
P0097,11,440.0,53.3,-41.9,carton,
P0098,10,960.0,-53.3,-30.3,plastic_box,
P0099,11,440.0,53.3,-11.0,wood_box,
P0100,11,440.0,53.3,-86.1,metal_box,
P0101,8,700.0,-53.3,71.3,carton,
P0102,17,570.0,160.0,-64.8,plastic_box,
P0103,7,570.0,-53.3,-70.5,wood_box,
P0104,12,570.0,53.3,31.0,metal_box,
P0105,3,700.0,-160.0,28.7,carton,
P0106,6,440.0,-53.3,40.9,plastic_box,
P0107,19,830.0,160.0,-70.6,wood_box,
P0108,16,440.0,160.0,74.9,metal_box,
P0109,20,960.0,160.0,-83.3,carton,
P0110,5,960.0,-160.0,9.9,plastic_box,
P0111,11,440.0,53.3,59.4,wood_box,
P0112,8,700.0,-53.3,55.5,metal_box,
P0113,20,960.0,160.0,81.5,carton,
P0114,7,570.0,-53.3,-37.6,plastic_box,
P0115,13,700.0,53.3,-43.9,wood_box,
P0116,11,440.0,53.3,78.5,metal_box,
P0117,4,830.0,-160.0,-81.9,carton,
P0118,4,830.0,-160.0,-11.7,plastic_box,
P0119,20,960.0,160.0,70.5,wood_box,
P0120,20,960.0,160.0,44.7,metal_box,
P0121,17,570.0,160.0,70.8,carton,
P0122,18,700.0,160.0,3.4,plastic_box,
P0123,10,960.0,-53.3,49.0,wood_box,
P0124,7,570.0,-53.3,29.1,metal_box,
P0125,9,830.0,-53.3,-73.0,carton,
P0126,8,700.0,-53.3,44.4,plastic_box,
P0127,8,700.0,-53.3,78.6,wood_box,
P0128,6,440.0,-53.3,-46.6,metal_box,
P0129,1,440.0,-160.0,59.6,carton,
P0130,3,700.0,-160.0,-62.4,plastic_box,
P0131,15,960.0,53.3,17.9,wood_box,
P0132,4,830.0,-160.0,67.4,metal_box,
P0133,1,440.0,-160.0,-34.1,carton,
P0134,4,830.0,-160.0,49.9,plastic_box,
P0135,7,570.0,-53.3,0.1,wood_box,
P0136,20,960.0,160.0,-64.1,metal_box,
P0137,19,830.0,160.0,-48.7,carton,
P0138,1,440.0,-160.0,-66.3,plastic_box,
P0139,1,440.0,-160.0,-68.1,wood_box,
P0140,14,830.0,53.3,1.1,metal_box,
P0141,19,830.0,160.0,14.6,carton,
P0142,14,830.0,53.3,-54.0,plastic_box,
P0143,18,700.0,160.0,38.8,wood_box,
P0144,17,570.0,160.0,43.0,metal_box,
P0145,17,570.0,160.0,-67.7,carton,
P0146,3,700.0,-160.0,77.0,plastic_box,
P0147,2,570.0,-160.0,-35.8,wood_box,
P0148,8,700.0,-53.3,-2.1,metal_box,
P0149,11,440.0,53.3,82.0,carton,
P0150,14,830.0,53.3,-38.4,plastic_box,
P0151,20,960.0,160.0,-85.5,wood_box,
P0152,19,830.0,160.0,9.9,metal_box,
P0153,3,700.0,-160.0,-70.9,carton,
P0154,13,700.0,53.3,-64.7,plastic_box,
P0155,15,960.0,53.3,83.9,wood_box,
P0156,9,830.0,-53.3,17.3,metal_box,
P0157,4,830.0,-160.0,54.8,carton,
P0158,19,830.0,160.0,-5.9,plastic_box,
P0159,13,700.0,53.3,-86.8,wood_box,
P0160,16,440.0,160.0,-70.4,metal_box,
P0161,6,440.0,-53.3,53.4,carton,
P0162,17,570.0,160.0,-48.1,plastic_box,
P0163,7,570.0,-53.3,19.1,wood_box,
P0164,11,440.0,53.3,66.2,metal_box,
P0165,16,440.0,160.0,-15.7,carton,
P0166,13,700.0,53.3,-22.6,plastic_box,
P0167,19,830.0,160.0,27.3,wood_box,
P0168,9,830.0,-53.3,66.1,metal_box,
P0169,6,440.0,-53.3,-45.4,carton,
P0170,10,960.0,-53.3,-47.4,plastic_box,
P0171,20,960.0,160.0,57.0,wood_box,
P0172,15,960.0,53.3,-71.0,metal_box,
P0173,18,700.0,160.0,17.0,carton,
P0174,2,570.0,-160.0,-63.7,plastic_box,
P0175,4,830.0,-160.0,-34.1,wood_box,
P0176,17,570.0,160.0,-64.1,metal_box,
P0177,19,830.0,160.0,-60.2,carton,
P0178,19,830.0,160.0,-38.8,plastic_box,
P0179,12,570.0,53.3,-69.2,wood_box,
P0180,4,830.0,-160.0,-86.2,metal_box,
P0181,15,960.0,53.3,-58.6,carton,
P0182,2,570.0,-160.0,-80.4,plastic_box,
P0183,9,830.0,-53.3,32.5,wood_box,
P0184,12,570.0,53.3,-19.1,metal_box,
P0185,17,570.0,160.0,0.8,carton,
P0186,7,570.0,-53.3,67.5,plastic_box,
P0187,16,440.0,160.0,-82.2,wood_box,
P0188,18,700.0,160.0,-57.3,metal_box,
P0189,18,700.0,160.0,-45.1,carton,
P0190,5,960.0,-160.0,12.8,plastic_box,
P0191,19,830.0,160.0,-81.1,wood_box,
P0192,9,830.0,-53.3,-22.7,metal_box,
P0193,19,830.0,160.0,-71.7,carton,
P0194,11,440.0,53.3,60.0,plastic_box,
P0195,3,700.0,-160.0,76.5,wood_box,
P0196,2,570.0,-160.0,-72.2,metal_box,
P0197,17,570.0,160.0,72.5,carton,
P0198,17,570.0,160.0,86.3,plastic_box,
P0199,7,570.0,-53.3,50.3,wood_box,
P0200,17,570.0,160.0,25.6,metal_box,
P0201,13,700.0,53.3,-65.8,carton,
P0202,16,440.0,160.0,6.5,plastic_box,
P0203,7,570.0,-53.3,64.4,wood_box,
P0204,11,440.0,53.3,-6.7,metal_box,
P0205,16,440.0,160.0,25.1,carton,
P0206,8,700.0,-53.3,-42.0,plastic_box,
P0207,2,570.0,-160.0,-4.0,wood_box,
P0208,3,700.0,-160.0,-15.0,metal_box,
P0209,13,700.0,53.3,-23.8,carton,
P0210,5,960.0,-160.0,-24.0,plastic_box,
P0211,15,960.0,53.3,-21.7,wood_box,
P0212,7,570.0,-53.3,33.4,metal_box,
P0213,5,960.0,-160.0,80.8,carton,
P0214,6,440.0,-53.3,74.9,plastic_box,
P0215,18,700.0,160.0,-30.9,wood_box,
P0216,10,960.0,-53.3,6.4,metal_box,
P0217,20,960.0,160.0,27.5,carton,
P0218,17,570.0,160.0,54.8,plastic_box,
P0219,12,570.0,53.3,23.9,wood_box,
P0220,11,440.0,53.3,-38.1,metal_box,
P0221,4,830.0,-160.0,-53.6,carton,
P0222,15,960.0,53.3,35.1,plastic_box,
P0223,11,440.0,53.3,-66.2,wood_box,
P0224,18,700.0,160.0,20.6,metal_box,
P0225,13,700.0,53.3,40.6,carton,
P0226,2,570.0,-160.0,-74.8,plastic_box,
P0227,11,440.0,53.3,-65.3,wood_box,
P0228,19,830.0,160.0,82.6,metal_box,
P0229,4,830.0,-160.0,16.9,carton,
P0230,17,570.0,160.0,50.9,plastic_box,
P0231,20,960.0,160.0,80.3,wood_box,
P0232,16,440.0,160.0,-44.4,metal_box,
P0233,15,960.0,53.3,-72.9,carton,
P0234,12,570.0,53.3,20.9,plastic_box,
P0235,4,830.0,-160.0,11.7,wood_box,
P0236,4,830.0,-160.0,13.0,metal_box,
P0237,10,960.0,-53.3,4.1,carton,
P0238,10,960.0,-53.3,47.5,plastic_box,
P0239,19,830.0,160.0,-1.4,wood_box,
P0240,16,440.0,160.0,17.9,metal_box,
P0241,3,700.0,-160.0,-68.4,carton,
P0242,19,830.0,160.0,-68.9,plastic_box,
P0243,15,960.0,53.3,28.4,wood_box,
P0244,2,570.0,-160.0,-14.7,metal_box,
P0245,19,830.0,160.0,30.8,carton,
P0246,16,440.0,160.0,-29.9,plastic_box,
P0247,15,960.0,53.3,47.3,wood_box,
P0248,18,700.0,160.0,-41.3,metal_box,
P0249,16,440.0,160.0,-33.4,carton,
P0250,8,700.0,-53.3,-61.6,plastic_box,
P0251,20,960.0,160.0,78.5,wood_box,
P0252,3,700.0,-160.0,-11.2,metal_box,
P0253,15,960.0,53.3,41.3,carton,
P0254,8,700.0,-53.3,9.5,plastic_box,
P0255,19,830.0,160.0,50.5,wood_box,
P0256,19,830.0,160.0,-3.7,metal_box,
P0257,3,700.0,-160.0,87.6,carton,
P0258,8,700.0,-53.3,39.2,plastic_box,
P0259,17,570.0,160.0,-68.7,wood_box,
P0260,20,960.0,160.0,63.1,metal_box,
P0261,18,700.0,160.0,-68.1,carton,
P0262,13,700.0,53.3,15.9,plastic_box,
P0263,1,440.0,-160.0,-87.8,wood_box,
P0264,14,830.0,53.3,-8.2,metal_box,
P0265,15,960.0,53.3,-36.8,carton,
P0266,17,570.0,160.0,-7.5,plastic_box,
P0267,7,570.0,-53.3,-35.7,wood_box,
P0268,9,830.0,-53.3,75.3,metal_box,
P0269,15,960.0,53.3,-70.1,carton,
P0270,16,440.0,160.0,89.5,plastic_box,
P0271,1,440.0,-160.0,-38.9,wood_box,
P0272,18,700.0,160.0,60.6,metal_box,
P0273,1,440.0,-160.0,89.8,carton,
P0274,3,700.0,-160.0,29.8,plastic_box,
P0275,3,700.0,-160.0,-73.7,wood_box,
P0276,14,830.0,53.3,71.5,metal_box,
P0277,18,700.0,160.0,-46.7,carton,
P0278,1,440.0,-160.0,-64.3,plastic_box,
P0279,18,700.0,160.0,-54.3,wood_box,
P0280,16,440.0,160.0,73.9,metal_box,
P0281,6,440.0,-53.3,-83.5,carton,
P0282,14,830.0,53.3,-89.0,plastic_box,
P0283,4,830.0,-160.0,19.1,wood_box,
P0284,2,570.0,-160.0,54.3,metal_box,
P0285,20,960.0,160.0,62.9,carton,
P0286,5,960.0,-160.0,-79.7,plastic_box,
P0287,14,830.0,53.3,77.0,wood_box,
P0288,17,570.0,160.0,49.0,metal_box,
P0289,17,570.0,160.0,60.8,carton,
P0290,14,830.0,53.3,-82.8,plastic_box,
P0291,10,960.0,-53.3,-67.5,wood_box,
P0292,5,960.0,-160.0,0.8,metal_box,
P0293,11,440.0,53.3,23.4,carton,
P0294,15,960.0,53.3,63.2,plastic_box,
P0295,9,830.0,-53.3,42.2,wood_box,
P0296,4,830.0,-160.0,-55.3,metal_box,
P0297,1,440.0,-160.0,37.8,carton,
P0298,6,440.0,-53.3,86.4,plastic_box,
P0299,15,960.0,53.3,-80.2,wood_box,
P0300,13,700.0,53.3,20.9,metal_box,
