pose_id,card_id,x_mm,y_mm,yaw_deg,class_hint,condition,stack_on
P0239,20,575.0,200.0,0.0,inox_box,,wood_box
P0240,17,575.0,140.0,20.0,inox_box,,
P0241,3,625.0,-160.0,-70.0,carton,,
P0242,20,575.0,200.0,-70.0,plastic_box,,
P0243,16,525.0,140.0,30.0,wood_box,,
P0244,2,575.0,-160.0,-15.0,metal_box,,inox_box
P0245,20,575.0,200.0,30.0,inox_box,,
P0246,17,575.0,140.0,-30.0,inox_box,,
P0247,16,525.0,140.0,45.0,inox_box,,
P0248,19,525.0,200.0,-40.0,inox_box,,
P0249,17,575.0,140.0,-35.0,carton,,plastic_box
P0250,8,575.0,-40.0,-60.0,plastic_box,,
P0251,21,625.0,200.0,80.0,wood_box,,
P0252,4,525.0,-100.0,-10.0,metal_box,,
P0253,16,525.0,140.0,40.0,inox_box,,
P0254,9,625.0,-40.0,10.0,inox_box,,plastic_box
P0255,20,575.0,200.0,50.0,inox_box,,
P0256,20,575.0,200.0,-5.0,inox_box,,
P0257,3,625.0,-160.0,90.0,carton,,
P0258,8,575.0,-40.0,40.0,plastic_box,,
P0259,18,625.0,140.0,-70.0,wood_box,,metal_box
P0260,20,575.0,200.0,65.0,metal_box,,
P0261,19,525.0,200.0,-70.0,inox_box,,
P0262,14,575.0,80.0,15.0,inox_box,,
P0263,1,525.0,-160.0,-90.0,inox_box,,
P0264,15,625.0,80.0,-10.0,inox_box,,
P0265,16,525.0,140.0,-35.0,carton,,plastic_box
P0266,18,625.0,140.0,-5.0,plastic_box,,
P0267,7,525.0,-40.0,-35.0,wood_box,,
P0268,10,525.0,20.0,75.0,metal_box,,
P0269,16,525.0,140.0,-70.0,inox_box,,
P0270,17,575.0,140.0,90.0,inox_box,,plastic_box
P0271,1,525.0,-160.0,-40.0,inox_box,,
P0272,19,525.0,200.0,60.0,inox_box,,
P0273,1,525.0,-160.0,90.0,carton,,
P0274,3,625.0,-160.0,30.0,plastic_box,,
P0275,3,625.0,-160.0,-75.0,wood_box,,metal_box
P0276,14,575.0,80.0,70.0,metal_box,,
P0277,19,525.0,200.0,-45.0,inox_box,,
P0278,1,525.0,-160.0,-65.0,inox_box,,
P0279,18,625.0,140.0,-55.0,inox_box,,
P0280,17,575.0,140.0,75.0,inox_box,,metal_box
P0281,7,525.0,-40.0,-85.0,carton,,
P0282,14,575.0,80.0,-90.0,plastic_box,,
P0283,4,525.0,-100.0,20.0,wood_box,,
P0284,2,575.0,-160.0,55.0,metal_box,,
P0285,21,625.0,200.0,65.0,inox_box,,carton
P0286,6,625.0,-100.0,-80.0,inox_box,,
P0287,15,625.0,80.0,75.0,inox_box,,
P0288,17,575.0,140.0,50.0,inox_box,,
P0289,18,625.0,140.0,60.0,carton,,
P0290,15,625.0,80.0,-85.0,plastic_box,,wood_box
P0291,10,525.0,20.0,-70.0,wood_box,,
P0292,5,575.0,-100.0,0.0,metal_box,,
P0293,12,625.0,20.0,25.0,inox_box,,
P0294,16,525.0,140.0,65.0,inox_box,,
P0295,10,525.0,20.0,40.0,inox_box,,wood_box
P0296,4,525.0,-100.0,-55.0,inox_box,,
P0297,1,525.0,-160.0,40.0,carton,,
P0298,6,625.0,-100.0,85.0,plastic_box,,
P0299,16,525.0,140.0,-80.0,wood_box,,
P0300,13,525.0,80.0,20.0,metal_box,,inox_box
